K,Train_Err,Val_Err,Test_Err,Train_Acc,Val_Acc,Test_Acc,Test_AUC
28,0.22201492537313428,0.23275862068965514,0.22413793103448276,0.7779850746268657,0.7672413793103449,0.7758620689655172,0.830592105263158
29,0.2201492537313433,0.25,0.2155172413793104,0.7798507462686567,0.75,0.7844827586206896,0.8297697368421053
30,0.22947761194029848,0.25,0.23275862068965514,0.7705223880597015,0.75,0.7672413793103449,0.8245065789473685
31,0.22201492537313428,0.25,0.2155172413793104,0.7779850746268657,0.75,0.7844827586206896,0.8231907894736842
32,0.23134328358208955,0.26724137931034486,0.22413793103448276,0.7686567164179104,0.7327586206896551,0.7758620689655172,0.8164473684210526
33,0.22574626865671643,0.2586206896551724,0.23275862068965514,0.7742537313432836,0.7413793103448276,0.7672413793103449,0.8148026315789474
34,0.23320895522388063,0.24137931034482762,0.25,0.7667910447761194,0.7586206896551724,0.75,0.810032894736842
35,0.23134328358208955,0.23275862068965514,0.22413793103448276,0.7686567164179104,0.7672413793103449,0.7758620689655172,0.818421052631579
36,0.23694029850746268,0.23275862068965514,0.24137931034482762,0.7630597014925373,0.7672413793103449,0.7586206896551724,0.8125
37,0.23694029850746268,0.24137931034482762,0.24137931034482762,0.7630597014925373,0.7586206896551724,0.7586206896551724,0.8128289473684212
38,0.23134328358208955,0.24137931034482762,0.25,0.7686567164179104,0.7586206896551724,0.75,0.812828947368421
39,0.23694029850746268,0.25,0.2586206896551724,0.7630597014925373,0.75,0.7413793103448276,0.8105263157894738
40,0.2350746268656716,0.22413793103448276,0.25,0.7649253731343284,0.7758620689655172,0.75,0.8141447368421053
41,0.2425373134328358,0.23275862068965514,0.25,0.7574626865671642,0.7672413793103449,0.75,0.8139802631578947
42,0.24067164179104472,0.22413793103448276,0.24137931034482762,0.7593283582089553,0.7758620689655172,0.7586206896551724,0.8139802631578947
43,0.23880597014925375,0.23275862068965514,0.25,0.7611940298507462,0.7672413793103449,0.75,0.815953947368421
44,0.24626865671641796,0.22413793103448276,0.24137931034482762,0.753731343283582,0.7758620689655172,0.7586206896551724,0.8179276315789474
45,0.2425373134328358,0.22413793103448276,0.24137931034482762,0.7574626865671642,0.7758620689655172,0.7586206896551724,0.8152960526315789
46,0.25,0.22413793103448276,0.22413793103448276,0.75,0.7758620689655172,0.7758620689655172,0.818421052631579
47,0.24813432835820892,0.23275862068965514,0.22413793103448276,0.7518656716417911,0.7672413793103449,0.7758620689655172,0.8171052631578947
48,0.25,0.23275862068965514,0.24137931034482762,0.75,0.7672413793103449,0.7586206896551724,0.819078947368421
